orgId;orgName;paymentIdentificationinstrId;settlementInfomethod;settlementInfoamount;paymentOrgIdentificationPAYMENT_CODE;paymentOrgIdentificationCUSTOMER_NAME;paymentOrgIdentificationREASON;paymentOrgIdentificationREASON_CODE;paymentOrgIdentificationAUX_REF_NO_1;paymentOrgIdentificationDEBTOR_TAX_ID;paymentOrgIdentificationAUX_PAYMENT_CODE;paymentOrgIdentificationDEBTOR_NAME;paymentOrgIdentificationEXPIRATION_DATE;paymentOrgIdentificationAUX2_PAYMENT_CODE
69d6ffc8-cc65-4130-a172-d2fa16b6cbe8;ΔΕΗ;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
10351b87-29cb-4459-95d3-7057685420b1;4LIFE DIRECT;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
d4f3076a-9089-422c-adf8-992f4625e700;520 BARCODE ΕΛΛΑΣ Α.Ε.;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
1a576935-170d-4c3b-aae4-3a71483dc424;A.N.E.K.;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
05d84f88-e0a7-4ebc-bd4d-e2812521f4dd;ABC FACTORS;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
7a9b5908-f745-44dd-acb7-5c53227c749f;ACS ATHENS;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
feb86797-5fe0-4d75-90a4-b97c42e917a0;ACS COURIER ΑΕΕ;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
f8d74ddd-9740-43ac-93d1-76a795cddfc0;ACTIONAID;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
e5a36e21-7f38-4e00-9649-11e1d77e9a55;AEGEAN INSURANCE;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
7f0d81a1-925a-4ef6-ad3e-30ba62ac9356;AFS Athens Financial Services;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
a4db6ef6-9fdf-4312-b478-7a0acc38b32c;AGGELIDIS NIKOLAOS ΦΑΡΜΑΚΕΙΟ;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
fcfc9bdc-90f7-4717-b8b1-a54e2a61e480;AIG EUROPE SA;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
3e633e65-91b2-455d-bc31-31ac2a6eaf0a;AIGAION ΑΣΦΑΛΙΣΤΙΚΗ;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
ae370a5e-5958-4735-b39f-bb6e9897412d;AIGLON SA;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
428343c9-2c4a-4186-933d-23d18fa6fc05;AIR LIQUIDE HELLAS AEBA;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
1111ba2e-2ea2-4281-ba36-5d6784b911c0;AKOUSON ΚΕΝΤΡΑ ΑΚΟΗΣ;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
29c0b329-b303-4551-a2f6-30c36c7bdba8;ALFACARE ΙΑΤΡΙΚΑ ΟΡΘΟΠΕΔΙΚΑ Α.Ε.;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXTSAMPL;;;;;;;;;
82b96e4d-7e4b-4b38-a18e-9de9fa6f69e5;ALLIANZ ΕΛΛΑΣ Α.Α.Ε.;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;SAMPLETEXTSAMPLETEXT;;;;;;;;;
df9a9487-ef94-4438-b357-a69be786ea04;ALPHA INSURANCE;SAMPLETEXTSAMPLETEXTSAMPLETEXTSAMPLE;SAMPLETEXT;112233445566.00;00000000112233445566;;;;;;;;;
